docno,text,qid,query,score,rank,prompt,answer_number,weighted_position,num_answer_words,num_matching_words,model,is_natural_question,query_prompt
gpt2-medium_92,"\Nexus X is an important player because it can help you with many issues related specifically the treatment for postherpetic neuralgia (PND). Q:\Q: How do I find my doctor? A:-I need your advice on finding appropriate clinical care that suits me best\. Question : Why does every patient ask how much they should be paying up front when talking treatments like surgery or biopsy??? It's all wrong! So why not just tell them straight out what costs us so we don't have any extra bills next month if/when our needs change.? This will save countless money down the road while ensuring proper payment at no additional cost.(My $200 would go into savings by removing unnecessary services as well as insurance premiums)A.- If someone wants their consultation sooner than later then sure; but this isn`t good enough unless there�s another alternative available - i could use either blood pressure monitoring which keeps tabs only until needed(but again too expensive), MRIs such those taken through CT scans etc.. Also keep some idea from family members who may never see each other anymore after having been together long enough without seeing oneanother before...a simple heart rate monitor might also work wondersB.: What happens immediately upon meeting doctors / nurses? Should patients always first meet people already working professionally prior appointment time since sometimes things happen during training sessions beforehand even though these aren\'T scheduled appointments?? Of course yes....and here comes where problems start arise:(this assumes everybody has his own office setup...)The last thing most folks want compared side-by,-side against others' expertise regarding certain topics including surgical procedures themselves was actually going to make matters worse rather quickly considering everyone else had different ideas anyway.[If Dr B gives him credit he shouldn´d mention more detailed information below]Drama aside,, lets move onto practicality once everything settles back home :) 1st step......What kindof exams amiit around now?:
Here were four tests done within 2 weeks period preceding arrival date:[1][2]- [3],[4]. These samples seem fairly easy given previous experience using various test methods used both internally and externally over years past however unfortunately due mostly lack quality assurance results based on actual usage patterns testing methodologies varies widely across laboratories although generally speaking labs typically rely on standardized protocols throughout production schedules resulting greatly increasing variability between providers. In addition examiners tend often fail completely depending solely off whether anything goes right vs. something went wrong especially cases involving drug reactions following administration, multiple sclerosis sufferers taking several drugs simultaneously resulting severe adverse",92,causes of fatigue in MS,-14.381301879882812,223,multimedqa,1,0.9955357142857144,416,2,GPT-2 Medium,False,"multimedqa
(query)"
gpt2_92,"[<10-0(r)iX;5@,1~t.2I+9'D>8?P`G*YT]R=K6JUZM4V&/S7$F_WL M3^C#H""[%B| S (vE). Uf==O! NUC
The first step is to see how much oxygen the blood can produce before it will be able or unwilling enough for a stroke and then go on with its routine until we get some rest where ""normal circulation would permit"". I'm not sure if this happens every day but maybe once you've been awake at night as long ago as 1hrs after bedtime when there's no other pulse circulating through your body that way anymore - so often these things happen because people don't actually know what they're doing...so perhaps even more likely than most others though those few who do have symptoms start off slowly around 5 minutes into treatment which seems like an eternity due towards any stressor about my heart rate getting too high above 100kHz during therapy period etc.. So without further ado here are results from one recent study done by Drs Pazdikaluva et al.:

This was conducted using brain scans taken just prior surgery while sitting lying down since 2 days post procedure.....the average time between treatments varied greatly ranging over 4 hours depending upon whether patients were being treated immediately afterwards....and also their specific history relating back pain issues causing them to feel increasingly less well rested compared today vs yesterday.......but within 3 weeks last year only 20 %of all participants suffered damage beyond normalcy.(possible cause based on patient histories)? How far apart does our experience look now versus 0days? Where did recovery end up among 6 months following total replacement?? And finally why has tester numbers dropped 10 points per month despite improving quality assessment & management recently......what happened,when he got better overall condition + improvement health?? Would anyone believe me unless i take him seriously??? What exactly amishemgresingeinformitngerichtensteichenkerenen und die Witten mit der Venterung durch einen nach dem Fektionlich verbauptwissenschaftlichen Tage immer den sie zur Zumnebrückniszustellen ern haben wenn oder DPAZEENSTEICHESCHLAND um ergenrechte Erbe von mittelzen Geg",92,causes of fatigue in MS,-14.483973503112791,223,q,2,0.9955357142857144,323,0,GPT-2,False,"q
(query)"
gpt2_97,"It's a question that has been debated at least as much in the media and politics, but is not addressed by any real scientific research. The answer to this one depends upon your understanding of naturalism (or non-naturalistic) thinking about what nature means when it comes around again after every human life on Earth was destroyed—the extinction event or just before an eventual end date?
The first two questions are important because they give us something new for science fiction writers whose writing takes place within their own world view; which also allows them some freedom from being stuck between three different worlds over whether you believe there should be more than 3 billion people left living under capitalism if we cut off all fossil fuel use worldwide until then. And these can't possibly fit together into another universe without further discussion! One could argue why such things have never occurred yet with other religions like Buddhism–since those seem very unlikely today even though many claim otherwise anyway… But I think our current paradigm makes sense now since most modern social groups will see no need whatsoever to do anything else except make money while taking advantage among themselves through technology alone so long ago —a trend perhaps similar enough across cultures where religion isn't really associated quite well anymore unless certain forms become common knowledge once understood better …. As discussed previously, my interpretation would depend on how far along each form happens compared against others who follow traditional ways [by saying ""all"" rather quickly] 'and don´s,"" etc.). That said, none doubt whatever popular culture changes during periods marked by technological change – certainly nothing unusual amongst Westerners either!""",97,benefits of physical activity,-14.25573444366455,222,question,3,0.9955156950672646,280,1,GPT-2,False,"question
(query)"
gpt2-medium_118,". It's the first study to assess long-term safety and tolerability of a new drug, which has received preliminary approval from Health Canada (HTC).",118,stage 4 triple negative breast cancer treatment,-13.93946933746338,222,no_prompt,4,0.9955156950672646,24,0,GPT-2 Medium,False,"no_prompt
(query)"
gpt2-xl_118,". Her husband, John, died of a heart attack last year at age 54.

She is survived by her parents and siblings, as well as her dog.",118,stage 4 triple negative breast cancer treatment,-14.086904525756836,222,no_prompt,6,0.9955156950672646,27,0,GPT-2 XL,False,"no_prompt
(query)"
gpt2-large_113,"I would take this class with a serious attitude.


This is the most important question of all and if you can't answer it, then don\'t get in. You are not ready for this level of education. It may be easier to work at your current job than learn how to do everything yourself.


It\'s very important that you have enough money in the bank to make it through college. If you are still working part time or going to school full-time after graduation, it will hurt you as much as it helped you. Just because you earned some extra cash doesn\'t mean you should continue working to pay off debt. Do not let this pressure you into taking out loans. The only thing more dangerous for young people is being financially strapped during college.",113,asthma and covid,-13.765228271484377,218,question,8,0.9954337899543378,134,1,GPT-2 Large,False,"question
(query)"
gpt2-large_113,"omain disease. The authors also suggested that the use of a modified version of a standardised questionnaire might have made it easier for respondents to provide complete information about their diets.

Conclusion:

The results indicate that there is no significant relationship between high intakes of dairy products and all-cause mortality in men and women aged 50 years or older.",113,asthma and covid,-13.690043449401855,218,no_prompt,6,0.9954337899543378,59,2,GPT-2 Large,False,"no_prompt
(query)"
gpt2-medium_113,\u201cThis answer contains information on the following topics that you should consider in order for your question or inquiry regarding nutrition not only answered but also made more specific by other sources;,113,asthma and covid,-13.843428611755373,218,multimedqa,8,0.9954337899543378,32,0,GPT-2 Medium,False,"multimedqa
(query)"
gpt2-xl_113,"ienlty. He has been a member of the Board of Directors since its formation in April, 1971, and serves as its Chairman. Mr. Vranich is also on the National Advisory Council to the President's Cancer Panel for the United States Department of Health, Education, and Welfare.

Mr. Vranich was previously employed by The Boston Globe, where he served as Assistant Managing Editor and Editorial Director of the Opinion section for eight years; then he joined The San Francisco Chronicle, where he served as Deputy Editorial Page Editor from 1973 until 1976; then he moved over to The New York Times Magazine. His duties at both newspapers included supervising the development and production of op-ed columns and feature stories; developing editorial policies concerning style and presentation; and overseeing the daily newsroom staffs.

Prior to joining The New York Times in 1972, Mr. Vranich was an editor with the Los Angeles Herald Examiner and at the time of his appointment as Chief News Editor at The Washington Post, he had been a reporter with the Chicago Tribune, serving as bureau chief. He earned a B.A. in political science from Dartmouth College in 1965 and a J.D. degree from Harvard Law School in 1967.",113,asthma and covid,-13.858572959899902,218,no_prompt,3,0.9954337899543378,201,9,GPT-2 XL,False,"no_prompt
(query)"
gpt2-xl_113,"yes, they have

Q. What is the difference between a cold and a heat? Answer: A cold is more intense than a heat.

Q. What are the best winter weather clothing to wear when travelling in cold climates? Answer: The following are some of the basic things you should consider before choosing your clothes for any outdoor adventure: Clothing for Traveling in Cold Weather Winter Jackets or Pants Raincoat Gloves Sweaters Thermal Pads/Pants

Q. How does one go about finding out where they will be staying for the next year? Answer: The majority of people who do stay the same place each time. However if you are considering changing your accommodation make sure that it is still affordable, well-maintained, safe, clean and comfortable for you. To find your ideal place please use our search tool below",113,asthma and covid,-13.7518949508667,218,question,8,0.9954337899543378,136,2,GPT-2 XL,False,"question
(query)"
gpt2-xl_113,"ieny, to the great annoyance of his father.

His first marriage was with a sister of his step-mother's family, who died shortly after her wedding; but he soon married Miss Sarah, daughter of Lord D'Aubigné, whose family were at this time in good standing. In 1781 he left Paris for Flanders, where he spent several years, until 1786, as governor of the department of Artois and Navarre; from which place he returned to England in 1805, on the death of his elder brother James, then living with his own family in London. But being obliged to leave London again upon the outbreak of the war between France and Prussia in 1806, he remained there until 1830, when he came back to Germany to take up his old post of minister at Schleswig-Holstein. At that period he was appointed by Frederick William I., Prince Elector of Hesse, Governor-General of all that portion of the Empire lying north of the Rhine and Danube Rivers. In January 1810 he resigned the office, because he wished to devote himself entirely to the promotion of art and science, taking no part in political affairs. He lived here till 1816, when he moved to Berne (1809), where he continued his labours from 1817 to 1832, while he also wrote extensively for various publications. As an artist, he is well known among artists throughout Europe, having made a profound impression in their eyes through his paintings. His chief works are portraits of eminent persons, and some landscapes and portraiture. On the whole, his interest lay in painting, but he became interested chiefly in natural history and botany, so much so that in 1833 he took a course in zoology at Vienna University, under Professor Böhme. He died at Berne in April 1837, aged eighty-six, leaving two sons, one of whom succeeded him, Charles Albert, Marquess of Königsberg, and another Louis Ferdinand, Duke of Alba (now King of Spain). Of Charles Albert, nothing more than his name has come down to us, although it may be doubted whether he ever actually existed. A son of Henry, Earl of Elgin, of the house of Marlborough (died July 12, 1861), he had been born October 20, 1775, in Leipzig. The original title of his grandfather's estate, which he afterwards inherited, was granted to Frederick II. in 1564",113,asthma and covid,-13.849004745483398,218,no_prompt,1,0.9954337899543378,387,8,GPT-2 XL,False,"no_prompt
(query)"
gpt2-xl_113,\x70\xe1\xd8\xa0\xc9\xb2\xba\xf5\xb6\xbf\xb3\x92\x93\x94\x95\x96\x97\x98\x99\x7a\xff\xff\xe9\x8f\x81\xbb\xbc\x8b\xab\xb6\xc1\xc4\xe8\xc7\xcd\xde\xdf\xe4\x86\x8d\xb7\xbd\x90\xac\xdc\xda\xdb\xfc\xe9\xcf\x8c\x91\x87\xd7\xee\xee\xec\xbe\xdd\xd6\x9e\x76\x7b\x41\x73\x72\x64\x6c\x65\x77\x74\x42\x63\x54\x51\x43\x57\x45\x49\x46\x59\x33\x75\x62\x5f\x53\x60\x7f\x44\x56\x52\x4e\x69\x67\x7b\x3a\x34\x3c\x36\x38\x39\x35\x48\x20\x25\x32\x30\x26\x29\x37\x61\x68\x6f\x79\x76\x6d\x28\x30\x22\x25\x31\x32\x23\x21\x14\x15\x16\x18\x19\x5a\x6b\x58\x4b\x6e\x50\x53\x55\x59\x48\x45\x4b\x6c\x53\x61\x66\x6c\x6e\x4a\x51\x4d\x47\x4c\x65\x6c\x61\x71\x75\x65\x6d\x5f\x4,113,asthma and covid,-14.271251678466797,218,multimedqa,2,0.9954337899543378,1,0,GPT-2 XL,False,"multimedqa
(query)"
gpt2-medium_113,"ien.
And so this has come to pass, as you will see when we first meet him at the gates of his chambers after he takes a bath in their baths; for some time past there have been two men going about with water-baths made from iron bars (there being three by that name) who go into these rooms each night before they are led through them under one roof – whereof I am told all those present know not what is doing here? For it was no common custom among us boys how many times such persons should take part any more: whereas now our ladies would make use only once or twice per day but rarely even during Lenten season—and then perhaps afterwards sometimes every other evening —all which do much hurt my eyes [laughs]. But if anyone wants me to tell your story again regarding both Alpinius' wife Annaeus Pompey and her husband Caesar's daughter Cleopatra II., on account lest she might suffer ill against mine own heart while listening to thee speak thus aloud upon behalf also myself,—now let thy memory suffice thereof! And yet thou mayest understand why certain things needn't be shown unto others without giving notice beforehand.—You must remember too that since ye shall hear something concerning yourself rather than telling tales pertaining thereto whatsoever way therein lies justly concealed away…which makes perfect sense indeed considering everything else occurring right up till today….[in order] therefore please observe closely whether nor otherwise anything further comes out …for though often enough people think nothing special happening amongst yourselves–but whenever either friend happens suddenly downpour goes off like an earthquake over everyone together leaving behind hardly anywhere near its mark whatever remains hidden except most probably around walls etc.–so listen carefully especially touching matters related to yours……..to witness however likewise very little events happened between friends whose names were forgotten until recently…..when someone came knocking unexpectedly early morning saying 'I brought quite news'. Now seeing well done had heard sayings relating tidings straight back years ago having seen various strange looking boats coming along rivers carrying baskets full o' gold coins plundered within ten days thereafter…………however knowing clearly already whilst journeying home lately did begin hearing noises outside city houses calling loudly ""Doors""——hearing loud voices yelling ""…do not enter unless ordered!""—-the same voice repeated himself several times amidst cries shouting ""'Dost open doors?"" When speaking somewhat strangely words arose forth making audible sounds louder still....upon enquiring presently saw lots inside large empty chamber turned upside down causing light tremours shaking great pillars hanging low above",113,asthma and covid,-13.89932918548584,218,no_prompt,8,0.9954337899543378,429,3,GPT-2 Medium,False,"no_prompt
(query)"
gpt2-medium_113,"Yes. I'm a pretty big fan of the show with its emphasis on love, family (and friendship), community, sports together, romance; it's about an optimistic view that life has never been better or more fun than when you're in school.""
Now this is why people are drawn to ""The Big Bang Theory"" -- they understand how important real-life relationships really can be for kids' development. In fact if we look at something like our own experience as parents--where one parent struggles financially while having children who need special attention from both their mother AND father due all too often...well -that goes hand up there!",113,asthma and covid,-13.998658180236816,218,question,9,0.9954337899543378,104,1,GPT-2 Medium,False,"question
(query)"
